"sampleID","patient","type","A2ML1"
"TCGA-95-7947-01A","TCGA-95-7947","tumor",953.7576
"TCGA-95-7948-01A","TCGA-95-7948","tumor",12.1711
"TCGA-95-8039-01A","TCGA-95-8039","tumor",1.1561
"TCGA-95-8494-01A","TCGA-95-8494","tumor",0
"TCGA-95-A4VK-01A","TCGA-95-A4VK","tumor",1.4641
"TCGA-95-A4VN-01A","TCGA-95-A4VN","tumor",0
"TCGA-95-A4VP-01A","TCGA-95-A4VP","tumor",0.5242
"TCGA-97-7546-01A","TCGA-97-7546","tumor",3.1315
"TCGA-97-7547-01A","TCGA-97-7547","tumor",625.4514
"TCGA-97-7552-01A","TCGA-97-7552","tumor",22.7867
"TCGA-97-7553-01A","TCGA-97-7553","tumor",0.8929
"TCGA-97-7554-01A","TCGA-97-7554","tumor",0.5003
"TCGA-97-7937-01A","TCGA-97-7937","tumor",1.6071
"TCGA-97-7938-01A","TCGA-97-7938","tumor",1.8127
"TCGA-97-7941-01A","TCGA-97-7941","tumor",1.2938
"TCGA-97-8171-01A","TCGA-97-8171","tumor",0
"TCGA-97-8172-01A","TCGA-97-8172","tumor",1.5877
"TCGA-97-8174-01A","TCGA-97-8174","tumor",0.2738
"TCGA-97-8175-01A","TCGA-97-8175","tumor",4.8696
"TCGA-97-8176-01A","TCGA-97-8176","tumor",7.1354
"TCGA-97-8177-01A","TCGA-97-8177","tumor",3.4341
"TCGA-97-8179-01A","TCGA-97-8179","tumor",0
"TCGA-97-8547-01A","TCGA-97-8547","tumor",1.5321
"TCGA-97-8552-01A","TCGA-97-8552","tumor",0.6098
"TCGA-97-A4LX-01A","TCGA-97-A4LX","tumor",0.8798
"TCGA-97-A4M0-01A","TCGA-97-A4M0","tumor",0.4562
"TCGA-97-A4M1-01A","TCGA-97-A4M1","tumor",0
"TCGA-97-A4M2-01A","TCGA-97-A4M2","tumor",15.894
"TCGA-97-A4M3-01A","TCGA-97-A4M3","tumor",0.5058
"TCGA-97-A4M5-01A","TCGA-97-A4M5","tumor",1.2563
"TCGA-97-A4M6-01A","TCGA-97-A4M6","tumor",1.3706
"TCGA-97-A4M7-01A","TCGA-97-A4M7","tumor",4.7271
"TCGA-99-7458-01A","TCGA-99-7458","tumor",1.9863
"TCGA-99-8025-01A","TCGA-99-8025","tumor",0
"TCGA-99-8028-01A","TCGA-99-8028","tumor",0.4307
"TCGA-99-8032-01A","TCGA-99-8032","tumor",0.7822
"TCGA-99-8033-01A","TCGA-99-8033","tumor",1.9531
"TCGA-99-AA5R-01A","TCGA-99-AA5R","tumor",1.6287
"TCGA-J2-8192-01A","TCGA-J2-8192","tumor",43.1722
"TCGA-J2-8194-01A","TCGA-J2-8194","tumor",0.4361
"TCGA-J2-A4AD-01A","TCGA-J2-A4AD","tumor",168.4937
"TCGA-J2-A4AE-01A","TCGA-J2-A4AE","tumor",2.9551
"TCGA-J2-A4AG-01A","TCGA-J2-A4AG","tumor",2.2513
"TCGA-L4-A4E5-01A","TCGA-L4-A4E5","tumor",0
"TCGA-L4-A4E6-01A","TCGA-L4-A4E6","tumor",0
"TCGA-L9-A443-01A","TCGA-L9-A443","tumor",0
"TCGA-L9-A444-01A","TCGA-L9-A444","tumor",0.7593
"TCGA-L9-A50W-01A","TCGA-L9-A50W","tumor",0.3751
"TCGA-L9-A5IP-01A","TCGA-L9-A5IP","tumor",4.8203
"TCGA-L9-A743-01A","TCGA-L9-A743","tumor",0
"TCGA-L9-A7SV-01A","TCGA-L9-A7SV","tumor",0
"TCGA-L9-A8F4-01A","TCGA-L9-A8F4","tumor",0
"TCGA-MN-A4N1-01A","TCGA-MN-A4N1","tumor",17.8664
"TCGA-MN-A4N4-01A","TCGA-MN-A4N4","tumor",21.1405
"TCGA-MN-A4N5-01A","TCGA-MN-A4N5","tumor",0.7874
"TCGA-MP-A4SV-01A","TCGA-MP-A4SV","tumor",0
"TCGA-MP-A4SW-01A","TCGA-MP-A4SW","tumor",0.4554
"TCGA-MP-A4SY-01A","TCGA-MP-A4SY","tumor",4.7622
"TCGA-MP-A4T4-01A","TCGA-MP-A4T4","tumor",0.4833
"TCGA-MP-A4T6-01A","TCGA-MP-A4T6","tumor",0
"TCGA-MP-A4T7-01A","TCGA-MP-A4T7","tumor",4.4111
"TCGA-MP-A4T8-01A","TCGA-MP-A4T8","tumor",0
"TCGA-MP-A4T9-01A","TCGA-MP-A4T9","tumor",1.9912
"TCGA-MP-A4TA-01A","TCGA-MP-A4TA","tumor",4.4434
"TCGA-MP-A4TC-01A","TCGA-MP-A4TC","tumor",0
"TCGA-MP-A4TD-01A","TCGA-MP-A4TD","tumor",5.9142
"TCGA-MP-A4TE-01A","TCGA-MP-A4TE","tumor",3.5242
"TCGA-MP-A4TF-01A","TCGA-MP-A4TF","tumor",0.8157
"TCGA-MP-A4TH-01A","TCGA-MP-A4TH","tumor",3.2288
"TCGA-MP-A4TI-01A","TCGA-MP-A4TI","tumor",0.5126
"TCGA-MP-A4TJ-01A","TCGA-MP-A4TJ","tumor",1.7467
"TCGA-MP-A4TK-01A","TCGA-MP-A4TK","tumor",0
"TCGA-MP-A5C7-01A","TCGA-MP-A5C7","tumor",0.83
"TCGA-NJ-A4YF-01A","TCGA-NJ-A4YF","tumor",0
"TCGA-NJ-A4YG-01A","TCGA-NJ-A4YG","tumor",0
"TCGA-NJ-A4YI-01A","TCGA-NJ-A4YI","tumor",0.6714
"TCGA-NJ-A4YP-01A","TCGA-NJ-A4YP","tumor",14.2276
"TCGA-NJ-A4YQ-01A","TCGA-NJ-A4YQ","tumor",0
"TCGA-NJ-A55A-01A","TCGA-NJ-A55A","tumor",0
"TCGA-NJ-A55O-01A","TCGA-NJ-A55O","tumor",8.7515
"TCGA-NJ-A55R-01A","TCGA-NJ-A55R","tumor",0.2403
"TCGA-NJ-A7XG-01A","TCGA-NJ-A7XG","tumor",2.7476
"TCGA-O1-A52J-01A","TCGA-O1-A52J","tumor",0
"TCGA-S2-AA1A-01A","TCGA-S2-AA1A","tumor",0
"TCGA-38-4625-11A","TCGA-38-4625","normal",0
"TCGA-38-4626-11A","TCGA-38-4626","normal",0.3649
"TCGA-38-4627-11A","TCGA-38-4627","normal",0
"TCGA-38-4632-11A","TCGA-38-4632","normal",2.8908
"TCGA-44-2655-11A","TCGA-44-2655","normal",0.6163
"TCGA-44-2657-11A","TCGA-44-2657","normal",50.0854
"TCGA-44-2661-11A","TCGA-44-2661","normal",0
"TCGA-44-2662-11A","TCGA-44-2662","normal",0
"TCGA-44-2665-11A","TCGA-44-2665","normal",1.0453
"TCGA-44-2668-11A","TCGA-44-2668","normal",0.768
"TCGA-44-3396-11A","TCGA-44-3396","normal",1.7768
"TCGA-44-5645-11A","TCGA-44-5645","normal",0.4683
"TCGA-44-6144-11A","TCGA-44-6144","normal",2.4756
"TCGA-44-6145-11A","TCGA-44-6145","normal",0
"TCGA-44-6146-11A","TCGA-44-6146","normal",0
"TCGA-44-6147-11A","TCGA-44-6147","normal",0.5999
"TCGA-44-6148-11A","TCGA-44-6148","normal",0
"TCGA-44-6776-11A","TCGA-44-6776","normal",0
"TCGA-44-6777-11A","TCGA-44-6777","normal",0
"TCGA-44-6778-11A","TCGA-44-6778","normal",0.5896
"TCGA-49-4490-11A","TCGA-49-4490","normal",0
"TCGA-49-4512-11A","TCGA-49-4512","normal",1.7138
"TCGA-49-6742-11A","TCGA-49-6742","normal",0
"TCGA-49-6743-11A","TCGA-49-6743","normal",0.7003
"TCGA-49-6744-11A","TCGA-49-6744","normal",1.304
"TCGA-49-6745-11A","TCGA-49-6745","normal",0.738
"TCGA-49-6761-11A","TCGA-49-6761","normal",2.0747
"TCGA-50-5930-11A","TCGA-50-5930","normal",0
"TCGA-50-5931-11A","TCGA-50-5931","normal",0
"TCGA-50-5932-11A","TCGA-50-5932","normal",0
"TCGA-50-5933-11A","TCGA-50-5933","normal",0
"TCGA-50-5935-11A","TCGA-50-5935","normal",3.096
"TCGA-50-5936-11A","TCGA-50-5936","normal",1.2479
"TCGA-50-5939-11A","TCGA-50-5939","normal",0
"TCGA-50-6595-11A","TCGA-50-6595","normal",1.1682
"TCGA-55-6968-11A","TCGA-55-6968","normal",0.793
"TCGA-55-6969-11A","TCGA-55-6969","normal",0
"TCGA-55-6970-11A","TCGA-55-6970","normal",1.506
"TCGA-55-6971-11A","TCGA-55-6971","normal",1.3298
"TCGA-55-6972-11A","TCGA-55-6972","normal",0
"TCGA-55-6975-11A","TCGA-55-6975","normal",0
"TCGA-55-6978-11A","TCGA-55-6978","normal",1.6863
"TCGA-55-6979-11A","TCGA-55-6979","normal",0
"TCGA-55-6980-11A","TCGA-55-6980","normal",0
"TCGA-55-6981-11A","TCGA-55-6981","normal",1.8663
"TCGA-55-6982-11A","TCGA-55-6982","normal",5.7856
"TCGA-55-6983-11A","TCGA-55-6983","normal",1.7346
"TCGA-55-6984-11A","TCGA-55-6984","normal",0.7457
"TCGA-55-6985-11A","TCGA-55-6985","normal",1.9693
"TCGA-55-6986-11A","TCGA-55-6986","normal",0.6173
"TCGA-73-4676-11A","TCGA-73-4676","normal",0
"TCGA-91-6828-11A","TCGA-91-6828","normal",1.9293
"TCGA-91-6829-11A","TCGA-91-6829","normal",1.3633
"TCGA-91-6831-11A","TCGA-91-6831","normal",0
"TCGA-91-6835-11A","TCGA-91-6835","normal",0
"TCGA-91-6836-11A","TCGA-91-6836","normal",1.5626
"TCGA-91-6847-11A","TCGA-91-6847","normal",0.905
"TCGA-91-6849-11A","TCGA-91-6849","normal",0
